pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-04-15,89.1,2.28,5.51,"Bubic, Kris",542303,663460,field_out,hit_into_play,,,,,4,Marcell Ozuna lines out to left fielder Jackie Bradley Jr.,R,R,L,KC,ATL,X,7,line_drive,2,2,2023,0.74,1.13,-0.75,2.73,645277,,687093,2,5,Top,63.73,98.53,,,,,-9.125617359375164,-129.53621909132195,-3.250967223173354,10.105615321354984,23.635670186292295,-18.931537802405984,3.51,1.73,293,80.7,28,90.8,2113,7.1,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.43,0.111,0.105,0.0,1,0,0,3,43,5,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,141,0.016,-0.245,,,0.153,0.245,88.0,-4,4,0.095,0.905,25,32,26,33,3,2,6,3,,2,1.72,0.74,-0.74,34.0
FF,2023-04-15,89.3,2.21,5.66,"Bubic, Kris",542303,663460,,ball,,,,,12,Marcell Ozuna lines out to left fielder Jackie Bradley Jr.,R,R,L,KC,ATL,B,,,1,2,2023,0.56,1.18,0.95,4.18,645277,,687093,2,5,Top,,,,,,,-4.34351479455506,-130.19536540631842,-0.2094635634068886,7.275310417746683,24.07771538271228,-18.788333321532463,3.56,1.72,,,,90.9,2064,6.9,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.63,,,,,,,,43,4,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,141,0.0,0.023,,,,-0.023,,-4,4,0.095,0.905,25,32,26,33,3,2,6,3,,2,1.64,0.56,-0.56,36.0
CH,2023-04-15,78.2,2.26,5.52,"Bubic, Kris",542303,663460,,foul,,,,,6,Marcell Ozuna lines out to left fielder Jackie Bradley Jr.,R,R,L,KC,ATL,S,,,1,1,2023,1.08,0.17,0.65,2.8,645277,,687093,2,5,Top,,,,,,,-5.526858195899701,-113.96920971792656,0.5698463100274078,10.333420073829863,16.7143748088816,-30.966079590913075,3.51,1.73,90,68.3,7,80.0,1717,7.0,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.48,,,,,,,,43,3,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,118,0.0,-0.074,,,,0.074,88.0,-4,4,0.095,0.905,25,32,26,33,3,2,6,3,,2,3.49,1.08,-1.08,34.5
FF,2023-04-15,87.9,2.29,5.53,"Bubic, Kris",542303,663460,,foul,,,,,5,Marcell Ozuna lines out to left fielder Jackie Bradley Jr.,R,R,L,KC,ATL,S,,,1,0,2023,0.67,1.04,-0.23,2.68,645277,,687093,2,5,Top,,,,,,,-7.625666691259703,-127.90601251118711,-3.034173911416164,8.850637853876867,23.366518936777076,-20.284513843461045,3.51,1.73,16,104.4,-9,89.6,1950,7.1,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.4,,,,,,,,43,2,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,139,0.0,-0.055,,,,0.055,104.4,-4,4,0.095,0.905,25,32,26,33,3,2,6,3,,2,1.88,0.67,-0.67,39.5
FF,2023-04-15,89.1,2.4,5.58,"Bubic, Kris",542303,663460,,ball,,,,,12,Marcell Ozuna lines out to left fielder Jackie Bradley Jr.,R,R,L,KC,ATL,B,,,0,0,2023,0.4,1.09,1.11,3.04,645277,,687093,2,5,Top,,,,,,,-4.051390420065748,-129.87891831737167,-2.6734435041089344,5.300549732642656,20.87768484453731,-19.29402928089747,3.59,1.71,,,,91.0,1827,6.8,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.67,,,,,,,,43,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,140,0.0,0.042,,,,-0.042,,-4,4,0.095,0.905,25,32,26,33,3,2,6,3,,2,1.71,0.4,-0.4,36.2
FF,2023-04-15,88.8,2.37,5.43,"Bubic, Kris",687093,663460,single,hit_into_play,,,,,6,Vaughn Grissom singles on a ground ball to right fielder MJ Melendez. Ozzie Albies to 3rd.,R,R,L,KC,ATL,X,9,ground_ball,3,1,2023,0.67,1.03,0.31,2.79,,,645277,2,5,Top,167.94,107.92,,,,,-6.541537794960732,-129.34634170554023,-2.688940443395376,8.712780896056735,22.99417842031986,-20.20667810414788,3.48,1.58,82,94.3,3,90.9,2025,7.2,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.3,0.471,0.453,0.9,1,1,0,4,42,5,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,129,-0.009,0.255,,,0.554,-0.255,94.3,-4,4,0.104,0.896,25,22,26,22,3,2,6,1,,1,1.82,0.67,-0.67,33.9
FF,2023-04-15,88.5,2.22,5.59,"Bubic, Kris",687093,663460,,foul,,,,,3,Vaughn Grissom singles on a ground ball to right fielder MJ Melendez. Ozzie Albies to 3rd.,R,R,L,KC,ATL,S,,,3,0,2023,0.7,1.1,0.57,3.09,,,645277,2,5,Top,,,,,,,-5.560339788283458,-129.00647962475415,-2.494043455745215,8.87231149333209,20.8647015827487,-19.389521972548216,3.48,1.58,232,76.4,36,90.6,1914,7.0,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.49,,,,,,,,42,4,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,141,0.0,-0.058,,,,0.058,88.0,-4,4,0.104,0.896,25,22,26,22,3,2,6,1,,1,1.74,0.7,-0.7,38.9
CH,2023-04-15,79.4,2.27,5.47,"Bubic, Kris",687093,663460,,ball,,,,,13,Vaughn Grissom singles on a ground ball to right fielder MJ Melendez. Ozzie Albies to 3rd.,R,R,L,KC,ATL,B,,,2,0,2023,1.19,0.22,-1.11,2.08,,,645277,2,5,Top,,,,,,,-9.749139138970904,-115.44402795599149,-1.1584573213915443,12.265799650133848,17.797602773431485,-30.20641510056953,3.36,1.67,,,,81.1,1836,7.1,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.39,,,,,,,,42,3,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,114,0.0,0.104,,,,-0.104,,-4,4,0.104,0.896,25,22,26,22,3,2,6,1,,1,3.35,1.19,-1.19,37.2
CH,2023-04-15,78.9,2.26,5.52,"Bubic, Kris",687093,663460,,ball,,,,,13,Vaughn Grissom singles on a ground ball to right fielder MJ Melendez. Ozzie Albies to 3rd.,R,R,L,KC,ATL,B,,,1,0,2023,1.27,0.25,-1.08,2.0,,,645277,2,5,Top,,,,,,,-9.73399607405097,-114.72873723140162,-1.4803885028357886,12.727324959119022,15.788925119588963,-29.846203613374293,3.27,1.63,,,,80.8,1622,7.1,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.44,,,,,,,,42,2,Changeup,1,5,5,1,5,1,5,1,Standard,Standard,114,0.0,0.037,,,,-0.037,,-4,4,0.104,0.896,25,22,26,22,3,2,6,1,,1,3.34,1.27,-1.27,35.4
FF,2023-04-15,88.4,2.24,5.64,"Bubic, Kris",687093,663460,,ball,,,,,12,Vaughn Grissom singles on a ground ball to right fielder MJ Melendez. Ozzie Albies to 3rd.,R,R,L,KC,ATL,B,,,0,0,2023,0.44,1.12,0.19,4.24,,,645277,2,5,Top,,,,,,,-5.99117049712102,-128.78569581954295,0.2553577196584293,6.05144171239159,22.298667241164413,-19.812014580982243,3.36,1.65,,,,90.2,1935,7.0,718563,521692,641531,686681,670032,677951,598265,664728,669004,53.54,,,,,,,,42,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,142,0.0,0.03,,,,-0.03,,-4,4,0.104,0.896,25,22,26,22,3,2,6,1,,1,1.75,0.44,-0.44,38.1
